Timestamp,X,Y,Z
2026-01-23 17:26:06.604,-337,-389,-41
2026-01-23 17:26:06.605,-345,-408,-39
2026-01-23 17:26:06.606,-337,-389,-41
2026-01-23 17:26:06.606,-345,-408,-39
2026-01-23 17:26:06.654,-373,-403,-23
2026-01-23 17:26:06.654,-373,-403,-23
2026-01-23 17:26:06.702,-373,-414,-57
2026-01-23 17:26:06.702,-373,-414,-57
2026-01-23 17:26:06.752,-346,-384,-33
2026-01-23 17:26:06.754,-346,-384,-33
2026-01-23 17:26:06.800,-334,-361,-48
2026-01-23 17:26:06.800,-334,-361,-48
2026-01-23 17:26:06.849,-351,-350,-26
2026-01-23 17:26:06.849,-363,-331,-48
2026-01-23 17:26:06.850,-351,-350,-26
2026-01-23 17:26:06.851,-363,-331,-48
2026-01-23 17:26:06.898,-357,-331,-20
2026-01-23 17:26:06.899,-357,-331,-20
2026-01-23 17:26:06.947,-362,-368,-30
2026-01-23 17:26:06.947,-362,-368,-30
2026-01-23 17:26:06.996,-350,-358,13
2026-01-23 17:26:06.996,-350,-358,13
2026-01-23 17:26:07.044,-344,-378,-12
2026-01-23 17:26:07.045,-383,-375,6
2026-01-23 17:26:07.045,-344,-378,-12
2026-01-23 17:26:07.046,-383,-375,6
2026-01-23 17:26:07.093,-405,-362,37
2026-01-23 17:26:07.093,-405,-362,37
2026-01-23 17:26:07.141,-399,-308,52
2026-01-23 17:26:07.141,-399,-308,52
2026-01-23 17:26:07.190,-380,-236,79
2026-01-23 17:26:07.191,-380,-236,79
2026-01-23 17:26:07.239,-434,-236,58
2026-01-23 17:26:07.239,-434,-236,58
2026-01-23 17:26:07.287,-567,-339,60
2026-01-23 17:26:07.288,-568,-349,88
2026-01-23 17:26:07.289,-567,-339,60
2026-01-23 17:26:07.289,-568,-349,88
2026-01-23 17:26:07.339,-520,-450,16
2026-01-23 17:26:07.339,-520,-450,16
2026-01-23 17:26:07.385,-330,-362,-30
2026-01-23 17:26:07.385,-330,-362,-30
2026-01-23 17:26:07.434,-132,-420,46
2026-01-23 17:26:07.434,-132,-420,46
2026-01-23 17:26:07.483,-54,-499,76
2026-01-23 17:26:07.483,-54,-499,76
2026-01-23 17:26:07.532,-105,-553,113
2026-01-23 17:26:07.532,-105,-553,113
2026-01-23 17:26:07.532,-154,-539,135
2026-01-23 17:26:07.532,-154,-539,135
2026-01-23 17:26:07.581,-172,-505,112
2026-01-23 17:26:07.582,-172,-505,112
2026-01-23 17:26:07.630,-73,-493,125
